"MapData"
{
	"NpcSpawns"
	{
		"10735.911133 3110.591309 -445.652435"		"x"
		"10189.182617 3087.599121 -441.633484"		"x"
		"10463.384766 3073.825684 -457.996216"		"x"
		"9745.356445 3308.933105 -468.062103"		"x"
		"9227.276367 3326.791016 -463.006744"		"x"
		"7183.955078 3403.074219 -438.026917"		"x"
		"7181.733887 3772.284912 -420.304718"		"x"
		"7413.807617 4199.013184 -401.734344"		"x"
		"7934.802246 4156.337402 -426.196838"		"x"
		"8512.964844 3798.923584 -426.268646"		"x"
		"9138.722656 3801.452148 -464.528870"		"x"
		"9674.782227 3837.995605 -480.320282"		"x"
		"10006.107422 3762.739014 -460.924255"		"x"
		"10493.511719 4040.002686 -439.919922"		"x"
		"11106.194336 4021.996094 -424.635834"		"x"
		"11374.573242 4138.335449 -424.510559"		"x"
		"11918.839844 4133.812012 -449.067871"		"x"
		"12115.125977 4012.481934 -409.223419"		"x"
		"12094.116211 3256.438721 -423.909760"		"x"
		"12128.852539 2890.452393 -412.345764"		"x"
		"12084.304688 1906.802612 -423.697327"		"x"
		"12156.504883 1412.661865 -381.314178"		"x"
		"12071.938477 827.330383 -341.133179"		"x"
		"10978.324219 1421.983643 -489.262787"		"x"
		"10795.386719 1104.476929 -469.124634"		"x"
		"10784.131836 882.145325 -458.431915"		"x"
		"10012.838867 757.560608 -397.519928"		"x"
		"9900.916016 1233.289795 -475.495422"		"x"
		"9610.303711 567.100525 -232.914551"		"x"
		"9471.104492 415.726257 -232.914551"		"x"
		"8994.375977 347.644165 -245.968750"		"x"
		"7696.641602 403.073547 -232.914551"		"x"
		"7926.041016 363.794891 -232.914551"		"x"
		"7635.764648 808.945801 -245.968750"		"x"
		"7783.869629 712.123108 -245.968750"		"x"
		"7643.185059 1243.627808 -245.968750"		"x"
		"7682.029785 1807.198608 -245.968750"		"x"
		"7811.392090 1958.339355 -245.968750"		"x"
		"8420.842773 1972.909668 -245.968750"		"x"
		"8554.610352 1824.041992 -245.968750"		"x"
		"8709.212891 1989.834473 -245.968750"		"x"
		"9480.186523 1984.079346 -245.968750"		"x"
		"9526.837891 1478.266357 -245.968750"		"x"
		"9769.263672 1763.230469 -245.968750"		"x"
		"10211.816406 1497.726074 -245.968750"		"x"
		"10673.755859 1531.392334 -245.968750"		"x"
		"10546.967773 1526.787964 -245.968750"		"x"
		"10405.635742 1531.401123 -245.968750"		"x"
		"10589.572266 2414.632568 -245.968750"		"x"
		"10441.685547 2422.841064 -245.968750"		"x"
		"9831.146484 2436.378662 -245.968750"		"x"
		"9750.274414 2823.699707 -245.968750"		"x"
		"10211.046875 2426.904785 -245.968750"		"x"
		"9809.057617 1957.331177 -245.968750"		"x"
		"9856.294922 2206.454346 -245.968750"		"x"
		"9797.294922 2104.148926 -245.968750"		"x"
		"10152.469727 2634.869385 -245.968750"		"x"
		"10667.310547 2644.622314 -245.968750"		"x"
		"10974.708984 2762.861572 -245.968750"		"x"
		"11079.973633 4057.112549 -245.968750"		"x"
		"10787.005859 1484.244507 -245.968750"		"x"
		"10774.343750 728.162170 -245.968750"		"x"
		"9378.060547 1460.581421 -473.562164"		"x"
		"9355.282227 725.384949 -464.657776"		"x"
		"8585.798828 700.280823 -427.178864"		"x"
		"8041.851074 744.506226 -447.369781"		"x"
		"8302.241211 746.635376 -459.681335"		"x"
		"7686.662109 961.296387 -429.995605"		"x"
		"7696.338379 1099.763550 -427.803101"		"x"
		"8035.854492 1505.502563 -396.815826"		"x"
		"8659.974609 1438.368530 -449.045197"		"x"
	}
	"LargeNpcSpawns"
	{
		"8213.431641 3554.139893 -406.518097"		"x"
		"10387.317383 3362.719971 -407.935699"		"x"
		"9518.529297 3839.549805 -481.278931"		"x"
		"9498.003906 3318.325684 -464.172028"		"x"
		"12081.830078 3946.666748 -404.196594"		"x"
		"12038.223633 882.997620 -344.041260"		"x"
		"11181.541016 1243.324951 -480.987488"		"x"
		"10318.107422 1065.052612 -478.865448"		"x"
	}
	"TeleportBlockers"
	{
		"12381.950195 2353.468018 -449.836243 1600.0"		"x"
		"12358.775391 1531.053101 -447.736237 1600.0"		"x"
		"12209.637695 848.920654 -444.848724 1600.0"		"x"
		"11437.044922 811.976379 -501.968750 500.0"		"x"
		"10793.459961 747.170959 -501.968750 1600.0"		"x"
		"9928.671875 778.389709 -501.968750 1600.0"		"x"
		"9713.326172 905.463562 -501.968750 1600.0"		"x"
		"8891.599609 742.843384 -501.968750 1600.0"		"x"
		"8550.985352 760.587097 -501.968750 1600.0"		"x"
		"8275.969727 749.425171 -501.968750 1600.0"		"x"
		"8016.334961 855.889160 -501.968750 1600.0"		"x"
		"7659.139160 1035.083008 -501.968750 1600.0"		"x"
		"7270.825195 1111.736938 -245.968750 1600.0"		"x"
		"7474.721191 1248.459595 -188.848755 1600.0"		"x"
		"7422.184082 865.581055 -188.968750 1600.0"		"x"
		"6817.974121 877.074097 -188.848755 1600.0"		"x"
		"6973.437988 1287.734863 -189.598755 1600.0"		"x"
		"8015.704590 1448.327881 -501.968750 1600.0"		"x"
		"7942.033691 1146.742432 -501.968750 1600.0"		"x"
		"8344.837891 1487.200073 -501.968750 1600.0"		"x"
		"8726.577148 1416.427002 -501.968750 1600.0"		"x"
		"9072.354492 1453.423462 -501.968750 1600.0"		"x"
		"7227.962891 247.143539 -245.968750 1600.0"		"x"
		"7558.561523 145.220383 10.031250 1600.0"		"x"
		"7917.329590 171.758240 10.031250 1600.0"		"x"
		"8604.133789 191.317032 10.031250 1600.0"		"x"
		"9203.873047 173.438583 10.031250 1600.0"		"x"
		"9640.643555 173.551422 10.031250 1600.0"		"x"
		"9924.128906 169.593277 10.031250 1600.0"		"x"
		"10187.011719 19.855158 10.031250 1600.0"		"x"
		"10549.450195 28.455412 10.031250 1600.0"		"x"
		"10909.227539 15.853465 10.031250 1600.0"		"x"
		"11388.215820 36.110775 10.031250 500.0"		"x"
		"12158.084961 -11.146055 10.031250 1600.0"		"x"
		"12533.163086 416.055298 58.195686 1600.0"		"x"
		"13020.089844 837.149048 -205.083252 500.0"		"x"
		"9610.319336 3209.635254 -501.968750 1600.0"		"x"
		"8985.780273 3245.492920 -501.968750 1600.0"		"x"
		"7967.332520 3229.976807 -501.968750 1600.0"		"x"
		"7425.145996 3341.944336 -501.968750 1600.0"		"x"
		"6854.472656 2939.012939 -117.968750 1600.0"		"x"
		"6862.290527 3682.100830 -171.826553 1600.0"		"x"
		"6574.752441 3742.603760 -501.968750 1600.0"		"x"
		"6136.078125 2730.574463 -471.493011 1600.0"		"x"
		"6695.815430 3410.521973 -403.772552 1600.0"		"x"
		"6726.412109 3862.615479 -341.343781 1600.0"		"x"
		"6979.893066 3686.353516 -314.086609 1600.0"		"x"
		"7437.923340 4105.068848 -501.968750 1600.0"		"x"
		"7965.920898 4135.006836 -501.968750 500.0"		"x"
		"8698.510742 3887.456543 -501.968750 500.0"		"x"
		"10067.534180 4018.254150 -486.685608 1600.0"		"x"
		"11052.648438 3154.296875 -501.968750 500.0"		"x"
		"11106.912109 3471.756104 -501.968750 500.0"		"x"
		"10781.718750 4334.743164 -117.968750 1600.0"		"x"
		"10316.049805 4467.867188 -186.357941 1600.0"		"x"
		"9511.329102 4450.892090 -219.794128 1600.0"		"x"
		"8919.345703 4274.168945 -350.369385 1600.0"		"x"
		"8102.007324 4559.859375 -330.166779 1600.0"		"x"
		"8045.326172 4470.442383 -480.848724 1600.0"		"x"
		"7849.584961 4591.968750 -314.302094 500.0"		"x"
		"7380.086914 4528.216797 -501.968750 1600.0"		"x"
		"6375.093750 4101.582520 -501.968750 1600.0"		"x"
		"6338.973145 4144.068359 -291.135651 1600.0"		"x"
		"5619.968750 3573.374756 -444.848724 1600.0"		"x"
		"8462.574219 3392.120850 -480.675812 500.0"		"x"
